特性,学年,教科,合理的配慮,指導計画
ASD（見通し不安・感覚過敏）,1,国語,板書は要点のみ・掲示を減らす。授業の流れを絵カードで提示。席は雑音の少ない前方。,単元ごとに活動の順序を固定し、音読は短い段落から。ペア活動は役割を明確化。終了合図は視覚でも示す。
ASD（集団活動が苦手）,2,算数,話し合いは少人数グループ。発言順をカードで示す。見通しタイマーを活用。,計算練習は個別プリント→理解確認→共同課題の順。困ったときの合図カードを約束する。
ADHD（不注意優位）,3,算数,課題は小分け・チェックリスト付。机上の物は最小限。口頭指示＋短い書面指示。,10分学習→2分小休止のサイクル。答え合わせはペアで交互チェック。提出箱を一箇所に固定。
ADHD（多動・衝動性）,1,体育,ルールは3項目以内で図示。待機場所をコーンで明確化。体を動かせる係を設定。,活動前に見本を提示→リハーサル→本番。危険時の合図を決め、個別の休憩スポットを用意。
LD（読字困難）,4,社会,教材はふりがな・行間広め。重要語は色分けカードで提示。読み上げアプリの使用可。,地図記号はカードで反復→口頭確認。資料読みはペアで交互読み＋要約メモ。評価は口頭説明も可。
LD（書字困難・ディスグラフィア）,5,国語,記述量を調整。PC/タブレット入力可。枠ガイド付きワークシート。,下書きは箇条書き→音声入力で文章化→教師が構成フィードバック→清書。
LD（算数の記号操作が苦手）,6,算数,計算過程のテンプレート。単位換算表・公式カードの使用可。,問題は1問ずつ提示→途中式の枠に沿って記入→自己評価チェックリストで確認。
聴覚過敏,2,音楽,椅子脚に緩衝材。イヤーマフの使用可。合奏の音量段階を視覚提示。,合奏は少人数から開始し、曲の一部のみ→休憩を挟み徐々に参加範囲を拡大。
軽度難聴（補聴器使用）,3,理科,座席は前方中央。教師は顔を向けて話す。要点は板書＋配布資料。,実験手順は写真つきシート。口頭説明後に再掲示し、実験中は指示カードで合図。
弱視（コントラスト低下）,4,図工,高コントラスト資料・拡大プリント。照度を調整し眩しさを避ける。,作業手順を1工程ずつ提示。完成見本に触れて確認。片付け場所を色テープで示す。
肢体不自由（細かな操作が困難）,5,理科,器具は大型つまみ・固定具を使用。実験はペアで分担。,観察は拡大投影で共同視聴。記録は音声入力を許可し、友だち記録も併用。
発語が少ない・選択性緘黙,2,外国語,指名回答は事前予告。カード指差し・タブレット回答可。,ALTとのやり取りはペア越しに実施→録音提出→慣れたら短い挨拶を教師と練習。
不安が強い（初めての活動で不安）,1,生活,写真つき日課表。新しい活動は事前に見学・試行。,観察→体験→ふりかえりの順序を固定し、成功体験をカードで可視化して次回へ橋渡し。
情緒の不安定さ・急な離席,3,国語,教室外にクールダウンコーナー。退出・再入室の合図カード。,読み聞かせ→個別読書→要約3文の短時間課題で達成感を積む。
ASD＋LD（図表読み取りが苦手）,6,社会,統計グラフは一種類ずつ提示。凡例を抜き出したシート配布。,読み取り→言い換え→自分の言葉で結論の3段階活動。評価は口頭説明を選択可。
注意持続が難しい（朝一が不調）,4,理科,朝一はオリエン短縮。導入は動画1分で視覚的に。,観察→ミニ実験→まとめをそれぞれ10分以内に区切り、役割カードで集中を保つ。
計算の見落としが多い,2,算数,1行1問のレイアウト。答え枠を色線で強調。,口頭で途中式を読み上げながら解く練習→自己チェック3項目→友だち確認。
漢字の形の保持が難しい,3,国語,マス目ガイド・筆順アニメ。書画カメラで手本を拡大。,エア書き→指書き→鉛筆書きの順で段階的に。宿題は語彙3語×少量反復。
語彙が少ない（日本語指導併用）,5,社会,キーワード絵カード・二言語語彙表。発問は短く具体的に。,前提語彙のミニレッスン→本文要点抜き出し→自分の国との比較を図で表す。
書くスピードが遅い,6,理科,板書写真の配布。記録係はペアと分担。,観察はチェック式シート中心→最後に2文まとめ。評価は記述量でなく内容理解を重視。
視覚情報の整理が苦手,1,算数,黒板周りの掲示削減。教具は一度に1種類のみ提示。,具体物→半具体物→記号の順で移行。切り替え時は合図カードで予告。
集団での音読が負担,4,国語,音読は録音提出やペア読み選択可。,句読点で区切る練習→意味のかたまり読み→録音を聞いて自己評価。
